timestamp,building_id,energy_kwh
2025-01-07 17:00:00,B001,5.51
2025-01-07 18:00:00,B001,5.59
2025-01-07 19:00:00,B001,5.32
2025-01-07 20:00:00,B001,4.7
2025-01-07 21:00:00,B001,15.25
2025-01-07 22:00:00,B001,14.55
2025-01-07 23:00:00,B001,16.33
2025-01-08 00:00:00,B001,15.74
2025-01-08 01:00:00,B001,15.26
2025-01-08 02:00:00,B001,14.91
2025-01-08 03:00:00,B001,15.05
2025-01-08 04:00:00,B001,16.06
2025-01-08 05:00:00,B001,15.01
2025-01-08 06:00:00,B001,16.2
2025-01-08 07:00:00,B001,17.96
2025-01-08 08:00:00,B001,6.3
2025-01-08 09:00:00,B001,7.05
2025-01-08 10:00:00,B001,7.46
2025-01-08 11:00:00,B001,7.1
2025-01-08 12:00:00,B001,7.54
2025-01-08 13:00:00,B001,7.54
2025-01-08 14:00:00,B001,7.05
2025-01-08 15:00:00,B001,7.55
2025-01-08 16:00:00,B001,5.85
2025-01-08 17:00:00,B001,5.66
2025-01-08 18:00:00,B001,5.35
2025-01-08 19:00:00,B001,4.68
2025-01-08 20:00:00,B001,4.95
2025-01-08 21:00:00,B001,15.03
2025-01-08 22:00:00,B001,14.97
2025-01-08 23:00:00,B001,15.7
2025-01-09 00:00:00,B001,14.53
2025-01-09 01:00:00,B001,15.48
2025-01-09 02:00:00,B001,15.37
2025-01-09 03:00:00,B001,15.27
2025-01-09 04:00:00,B001,15.24
2025-01-09 05:00:00,B001,15.05
2025-01-09 06:00:00,B001,17.71
2025-01-09 07:00:00,B001,16.17
2025-01-09 08:00:00,B001,6.78
2025-01-09 09:00:00,B001,6.63
2025-01-09 10:00:00,B001,7.26
2025-01-09 11:00:00,B001,7.45
2025-01-09 12:00:00,B001,7.4
2025-01-09 13:00:00,B001,7.79
2025-01-09 14:00:00,B001,7.09
2025-01-09 15:00:00,B001,6.92
2025-01-09 16:00:00,B001,6.21
2025-01-09 17:00:00,B001,5.18
2025-01-09 18:00:00,B001,5.11
2025-01-09 19:00:00,B001,5.48
2025-01-09 20:00:00,B001,5.02
2025-01-09 21:00:00,B001,14.33
2025-01-09 22:00:00,B001,15.25
2025-01-09 23:00:00,B001,15.07
2025-01-10 00:00:00,B001,14.81
2025-01-10 01:00:00,B001,15.37
2025-01-10 02:00:00,B001,14.21
2025-01-10 03:00:00,B001,14.47
2025-01-10 04:00:00,B001,15.06
2025-01-10 05:00:00,B001,16.35
2025-01-10 06:00:00,B001,15.89
2025-01-10 07:00:00,B001,18.72
2025-01-10 08:00:00,B001,6.0
2025-01-10 09:00:00,B001,6.4
2025-01-10 10:00:00,B001,7.03
2025-01-10 11:00:00,B001,6.55
2025-01-10 12:00:00,B001,6.79
2025-01-10 13:00:00,B001,6.44
2025-01-10 14:00:00,B001,8.49
2025-01-10 15:00:00,B001,6.22
2025-01-10 16:00:00,B001,7.24
2025-01-10 17:00:00,B001,5.17
2025-01-10 18:00:00,B001,5.05
2025-01-10 19:00:00,B001,4.99
2025-01-10 20:00:00,B001,5.26
2025-01-10 21:00:00,B001,14.26
2025-01-10 22:00:00,B001,15.64
2025-01-10 23:00:00,B001,15.06
2025-01-11 00:00:00,B001,15.66
2025-01-11 01:00:00,B001,15.13
2025-01-11 02:00:00,B001,14.97
2025-01-11 03:00:00,B001,14.18
2025-01-11 04:00:00,B001,15.59
2025-01-11 05:00:00,B001,14.42
2025-01-11 06:00:00,B001,16.54
2025-01-11 07:00:00,B001,17.2
2025-01-11 08:00:00,B001,5.97
2025-01-11 09:00:00,B001,6.85
2025-01-11 10:00:00,B001,7.31
2025-01-11 11:00:00,B001,7.89
2025-01-11 12:00:00,B001,7.81
2025-01-11 13:00:00,B001,7.34
2025-01-11 14:00:00,B001,6.64
2025-01-11 15:00:00,B001,7.4
2025-01-11 16:00:00,B001,6.43
2025-01-11 17:00:00,B001,6.9
2025-01-11 18:00:00,B001,4.91
2025-01-11 19:00:00,B001,4.96
2025-01-11 20:00:00,B001,4.87
2025-01-11 21:00:00,B001,14.4
2025-01-11 22:00:00,B001,15.7
2025-01-11 23:00:00,B001,14.52
2025-01-12 00:00:00,B001,13.7
2025-01-12 01:00:00,B001,15.75
2025-01-12 02:00:00,B001,15.11
2025-01-12 03:00:00,B001,15.67
2025-01-12 04:00:00,B001,15.17
2025-01-12 05:00:00,B001,16.3
2025-01-12 06:00:00,B001,14.72
2025-01-12 07:00:00,B001,17.46
2025-01-12 08:00:00,B001,6.05
2025-01-12 09:00:00,B001,6.32
2025-01-12 10:00:00,B001,7.46
2025-01-12 11:00:00,B001,8.47
2025-01-12 12:00:00,B001,7.47
2025-01-12 13:00:00,B001,7.53
2025-01-12 14:00:00,B001,7.02
2025-01-12 15:00:00,B001,6.22
2025-01-12 16:00:00,B001,6.11
2025-01-12 17:00:00,B001,5.59
2025-01-12 18:00:00,B001,5.22
2025-01-12 19:00:00,B001,4.53
2025-01-12 20:00:00,B001,4.72
2025-01-12 21:00:00,B001,14.85
2025-01-12 22:00:00,B001,14.46
2025-01-12 23:00:00,B001,14.07
2025-01-13 00:00:00,B001,14.77
2025-01-13 01:00:00,B001,15.56
2025-01-13 02:00:00,B001,13.89
2025-01-13 03:00:00,B001,15.49
2025-01-13 04:00:00,B001,15.18
2025-01-13 05:00:00,B001,14.28
2025-01-13 06:00:00,B001,14.29
2025-01-13 07:00:00,B001,19.25
2025-01-13 08:00:00,B001,7.12
2025-01-13 09:00:00,B001,6.32
2025-01-13 10:00:00,B001,8.56
2025-01-13 11:00:00,B001,7.96
2025-01-13 12:00:00,B001,7.05
2025-01-13 13:00:00,B001,8.73
2025-01-13 14:00:00,B001,7.02
2025-01-13 15:00:00,B001,7.75
2025-01-13 16:00:00,B001,5.98
2025-01-13 17:00:00,B001,5.26
2025-01-13 18:00:00,B001,5.06
2025-01-13 19:00:00,B001,4.59
2025-01-13 20:00:00,B001,5.19
2025-01-13 21:00:00,B001,14.26
2025-01-13 22:00:00,B001,15.27
2025-01-13 23:00:00,B001,14.62
2025-01-14 00:00:00,B001,14.25
2025-01-14 01:00:00,B001,14.63
2025-01-14 02:00:00,B001,13.52
2025-01-14 03:00:00,B001,15.86
2025-01-14 04:00:00,B001,14.79
2025-01-14 05:00:00,B001,15.13
2025-01-14 06:00:00,B001,14.26
2025-01-14 07:00:00,B001,15.52
2025-01-14 08:00:00,B001,6.62
2025-01-14 09:00:00,B001,6.9
2025-01-14 10:00:00,B001,7.27
2025-01-14 11:00:00,B001,6.49
2025-01-14 12:00:00,B001,6.53
2025-01-14 13:00:00,B001,7.75
2025-01-14 14:00:00,B001,7.64
2025-01-14 15:00:00,B001,7.18
2025-01-14 16:00:00,B001,6.74
2025-01-14 17:00:00,B001,6.01
2025-01-14 18:00:00,B001,4.94
2025-01-14 19:00:00,B001,5.38
2025-01-14 20:00:00,B001,4.73
2025-01-14 21:00:00,B001,14.7
2025-01-14 22:00:00,B001,15.16
2025-01-14 23:00:00,B001,13.56
2025-01-15 00:00:00,B001,15.98
2025-01-15 01:00:00,B001,14.92
2025-01-15 02:00:00,B001,14.2
2025-01-15 03:00:00,B001,15.05
2025-01-15 04:00:00,B001,16.24
2025-01-15 05:00:00,B001,15.54
2025-01-15 06:00:00,B001,16.25
2025-01-15 07:00:00,B001,15.85
2025-01-15 08:00:00,B001,6.59
2025-01-15 09:00:00,B001,6.34
2025-01-15 10:00:00,B001,6.57
2025-01-15 11:00:00,B001,7.25
2025-01-15 12:00:00,B001,7.26
2025-01-15 13:00:00,B001,7.83
2025-01-15 14:00:00,B001,8.52
2025-01-15 15:00:00,B001,7.24
2025-01-15 16:00:00,B001,5.93
2025-01-15 17:00:00,B001,5.07
2025-01-15 18:00:00,B001,5.5
2025-01-15 19:00:00,B001,5.16
2025-01-15 20:00:00,B001,5.21
2025-01-15 21:00:00,B001,15.28
2025-01-15 22:00:00,B001,15.88
2025-01-15 23:00:00,B001,17.37
2025-01-16 00:00:00,B001,15.76
2025-01-16 01:00:00,B001,13.99
2025-01-16 02:00:00,B001,14.31
2025-01-16 03:00:00,B001,14.75
2025-01-16 04:00:00,B001,15.12
2025-01-16 05:00:00,B001,15.96
2025-01-16 06:00:00,B001,15.19
2025-01-16 07:00:00,B001,14.96
2025-01-16 08:00:00,B001,6.52
2025-01-16 09:00:00,B001,6.64
2025-01-16 10:00:00,B001,6.9
2025-01-16 11:00:00,B001,7.79
2025-01-16 12:00:00,B001,6.92
2025-01-16 13:00:00,B001,7.55
2025-01-16 14:00:00,B001,7.61
2025-01-16 15:00:00,B001,6.95
2025-01-16 16:00:00,B001,7.28
2025-01-16 17:00:00,B001,6.63
2025-01-16 18:00:00,B001,5.74
2025-01-16 19:00:00,B001,5.14
2025-01-16 20:00:00,B001,5.05
2025-01-16 21:00:00,B001,15.38
2025-01-16 22:00:00,B001,15.9
2025-01-16 23:00:00,B001,14.64
2025-01-17 00:00:00,B001,14.52
2025-01-17 01:00:00,B001,15.55
2025-01-17 02:00:00,B001,15.24
2025-01-17 03:00:00,B001,15.91
2025-01-17 04:00:00,B001,15.89
2025-01-17 05:00:00,B001,14.55
2025-01-17 06:00:00,B001,16.02
2025-01-17 07:00:00,B001,21.11
2025-01-17 08:00:00,B001,6.74
2025-01-17 09:00:00,B001,7.74
2025-01-17 10:00:00,B001,8.01
2025-01-17 11:00:00,B001,7.69
2025-01-17 12:00:00,B001,7.66
2025-01-17 13:00:00,B001,6.7
2025-01-17 14:00:00,B001,6.76
2025-01-17 15:00:00,B001,6.75
2025-01-17 16:00:00,B001,5.06
2025-01-17 17:00:00,B001,5.39
2025-01-17 18:00:00,B001,5.55
2025-01-17 19:00:00,B001,4.89
2025-01-17 20:00:00,B001,5.31
2025-01-17 21:00:00,B001,14.58
2025-01-17 22:00:00,B001,14.56
2025-01-17 23:00:00,B001,14.38
2025-01-18 00:00:00,B001,13.88
2025-01-18 01:00:00,B001,13.63
2025-01-18 02:00:00,B001,15.47
2025-01-18 03:00:00,B001,15.17
2025-01-18 04:00:00,B001,13.38
2025-01-18 05:00:00,B001,12.8
2025-01-18 06:00:00,B001,14.35
2025-01-18 07:00:00,B001,18.74
2025-01-18 08:00:00,B001,6.46
2025-01-18 09:00:00,B001,6.14
2025-01-18 10:00:00,B001,6.72
2025-01-18 11:00:00,B001,8.11
2025-01-18 12:00:00,B001,6.53
2025-01-18 13:00:00,B001,7.4
2025-01-18 14:00:00,B001,8.01
2025-01-18 15:00:00,B001,6.94
2025-01-18 16:00:00,B001,6.5
2025-01-18 17:00:00,B001,5.42
2025-01-18 18:00:00,B001,4.96
2025-01-18 19:00:00,B001,4.87
2025-01-18 20:00:00,B001,4.96
2025-01-18 21:00:00,B001,14.11
2025-01-18 22:00:00,B001,14.68
2025-01-18 23:00:00,B001,15.68
2025-01-19 00:00:00,B001,15.22
2025-01-19 01:00:00,B001,14.26
2025-01-19 02:00:00,B001,15.31
2025-01-19 03:00:00,B001,15.21
2025-01-19 04:00:00,B001,15.45
2025-01-19 05:00:00,B001,15.47
2025-01-19 06:00:00,B001,15.04
2025-01-19 07:00:00,B001,20.7
2025-01-19 08:00:00,B001,5.82
2025-01-19 09:00:00,B001,7.36
2025-01-19 10:00:00,B001,7.41
2025-01-19 11:00:00,B001,7.12
2025-01-19 12:00:00,B001,6.67
2025-01-19 13:00:00,B001,8.09
2025-01-19 14:00:00,B001,8.04
2025-01-19 15:00:00,B001,6.65
2025-01-19 16:00:00,B001,7.64
2025-01-19 17:00:00,B001,5.79
2025-01-19 18:00:00,B001,5.03
2025-01-19 19:00:00,B001,4.77
2025-01-19 20:00:00,B001,5.19
2025-01-19 21:00:00,B001,14.83
2025-01-19 22:00:00,B001,14.23
2025-01-19 23:00:00,B001,13.97
2025-01-20 00:00:00,B001,14.89
2025-01-20 01:00:00,B001,13.71
2025-01-20 02:00:00,B001,14.71
2025-01-20 03:00:00,B001,15.8
2025-01-20 04:00:00,B001,14.18
2025-01-20 05:00:00,B001,14.96
2025-01-20 06:00:00,B001,14.15
2025-01-20 07:00:00,B001,16.98
2025-01-20 08:00:00,B001,6.59
2025-01-20 09:00:00,B001,5.78
2025-01-20 10:00:00,B001,7.38
2025-01-20 11:00:00,B001,7.89
2025-01-20 12:00:00,B001,6.63
2025-01-20 13:00:00,B001,6.8
2025-01-20 14:00:00,B001,8.13
2025-01-20 15:00:00,B001,6.99
2025-01-20 16:00:00,B001,5.98
2025-01-20 17:00:00,B001,5.74
2025-01-20 18:00:00,B001,4.8
2025-01-20 19:00:00,B001,5.36
2025-01-20 20:00:00,B001,5.29
2025-01-20 21:00:00,B001,15.74
2025-01-20 22:00:00,B001,13.85
2025-01-20 23:00:00,B001,15.29
2025-01-21 00:00:00,B001,15.12
2025-01-21 01:00:00,B001,14.35
2025-01-21 02:00:00,B001,14.34
2025-01-21 03:00:00,B001,13.14
2025-01-21 04:00:00,B001,14.89
2025-01-21 05:00:00,B001,15.6
2025-01-21 06:00:00,B001,15.27
2025-01-21 07:00:00,B001,15.95
2025-01-21 08:00:00,B001,5.42
2025-01-21 09:00:00,B001,6.29
2025-01-21 10:00:00,B001,7.85
2025-01-21 11:00:00,B001,6.76
2025-01-21 12:00:00,B001,7.54
2025-01-21 13:00:00,B001,7.36
2025-01-21 14:00:00,B001,7.13
2025-01-21 15:00:00,B001,6.24
2025-01-21 16:00:00,B001,5.58
2025-01-21 17:00:00,B001,5.56
2025-01-21 18:00:00,B001,4.53
2025-01-21 19:00:00,B001,4.46
2025-01-21 20:00:00,B001,4.92
2025-01-21 21:00:00,B001,15.78
2025-01-21 22:00:00,B001,15.2
2025-01-21 23:00:00,B001,14.78
2025-01-22 00:00:00,B001,15.27
2025-01-22 01:00:00,B001,15.71
2025-01-22 02:00:00,B001,15.15
2025-01-22 03:00:00,B001,13.73
2025-01-22 04:00:00,B001,14.03
2025-01-22 05:00:00,B001,15.34
2025-01-22 06:00:00,B001,15.87
2025-01-22 07:00:00,B001,15.81
2025-01-22 08:00:00,B001,5.61
2025-01-22 09:00:00,B001,6.93
2025-01-22 10:00:00,B001,6.61
2025-01-22 11:00:00,B001,6.95
2025-01-22 12:00:00,B001,7.33
2025-01-22 13:00:00,B001,7.77
2025-01-22 14:00:00,B001,7.25
2025-01-22 15:00:00,B001,6.19
2025-01-22 16:00:00,B001,6.35
2025-01-22 17:00:00,B001,5.67
2025-01-22 18:00:00,B001,5.2
2025-01-22 19:00:00,B001,5.25
2025-01-22 20:00:00,B001,4.95
2025-01-22 21:00:00,B001,14.12
2025-01-22 22:00:00,B001,14.63
2025-01-22 23:00:00,B001,15.07
2025-01-23 00:00:00,B001,14.68
2025-01-23 01:00:00,B001,15.33
2025-01-23 02:00:00,B001,15.04
2025-01-23 03:00:00,B001,14.93
2025-01-23 04:00:00,B001,15.04
2025-01-23 05:00:00,B001,16.14
2025-01-23 06:00:00,B001,15.56
2025-01-23 07:00:00,B001,17.89
2025-01-23 08:00:00,B001,5.6
2025-01-23 09:00:00,B001,6.56
2025-01-23 10:00:00,B001,6.21
2025-01-23 11:00:00,B001,8.42
2025-01-23 12:00:00,B001,6.58
2025-01-23 13:00:00,B001,8.19
2025-01-23 14:00:00,B001,6.36
2025-01-23 15:00:00,B001,7.36
2025-01-23 16:00:00,B001,5.67
2025-01-23 17:00:00,B001,5.49
2025-01-23 18:00:00,B001,5.14
2025-01-23 19:00:00,B001,5.14
2025-01-23 20:00:00,B001,4.63
2025-01-23 21:00:00,B001,15.15
2025-01-23 22:00:00,B001,14.91
2025-01-23 23:00:00,B001,14.67
2025-01-24 00:00:00,B001,15.16
2025-01-24 01:00:00,B001,15.69
2025-01-24 02:00:00,B001,15.59
2025-01-24 03:00:00,B001,15.24
2025-01-24 04:00:00,B001,16.81
2025-01-24 05:00:00,B001,15.38
2025-01-24 06:00:00,B001,16.04
2025-01-24 07:00:00,B001,16.95
2025-01-24 08:00:00,B001,6.97
2025-01-24 09:00:00,B001,7.54
2025-01-24 10:00:00,B001,6.54
2025-01-24 11:00:00,B001,8.72
2025-01-24 12:00:00,B001,7.39
2025-01-24 13:00:00,B001,6.36
2025-01-24 14:00:00,B001,6.19
2025-01-24 15:00:00,B001,5.49
2025-01-24 16:00:00,B001,6.22
2025-01-24 17:00:00,B001,5.84
2025-01-24 18:00:00,B001,4.75
2025-01-24 19:00:00,B001,4.94
2025-01-24 20:00:00,B001,5.16
2025-01-24 21:00:00,B001,16.04
2025-01-24 22:00:00,B001,13.87
2025-01-24 23:00:00,B001,14.69
2025-01-25 00:00:00,B001,14.9
2025-01-25 01:00:00,B001,14.07
2025-01-25 02:00:00,B001,15.37
2025-01-25 03:00:00,B001,15.15
2025-01-25 04:00:00,B001,15.25
2025-01-25 05:00:00,B001,14.05
2025-01-25 06:00:00,B001,14.79
2025-01-25 07:00:00,B001,16.36
2025-01-25 08:00:00,B001,6.1
2025-01-25 09:00:00,B001,6.92
2025-01-25 10:00:00,B001,7.15
2025-01-25 11:00:00,B001,8.24
2025-01-25 12:00:00,B001,8.2
2025-01-25 13:00:00,B001,7.4
2025-01-25 14:00:00,B001,6.72
2025-01-25 15:00:00,B001,6.93
2025-01-25 16:00:00,B001,6.78
2025-01-25 17:00:00,B001,5.68
2025-01-25 18:00:00,B001,5.03
2025-01-25 19:00:00,B001,5.05
2025-01-25 20:00:00,B001,4.73
2025-01-25 21:00:00,B001,14.93
2025-01-25 22:00:00,B001,15.35
2025-01-25 23:00:00,B001,14.94
2025-01-26 00:00:00,B001,13.7
2025-01-26 01:00:00,B001,14.55
2025-01-26 02:00:00,B001,15.21
2025-01-26 03:00:00,B001,15.78
2025-01-26 04:00:00,B001,14.7
2025-01-26 05:00:00,B001,14.92
2025-01-26 06:00:00,B001,15.23
2025-01-26 07:00:00,B001,16.9
2025-01-26 08:00:00,B001,6.88
2025-01-26 09:00:00,B001,6.96
2025-01-26 10:00:00,B001,7.06
2025-01-26 11:00:00,B001,7.52
2025-01-26 12:00:00,B001,6.4
2025-01-26 13:00:00,B001,7.01
2025-01-26 14:00:00,B001,6.42
2025-01-26 15:00:00,B001,7.4
2025-01-26 16:00:00,B001,6.41
2025-01-26 17:00:00,B001,5.24
2025-01-26 18:00:00,B001,5.46
2025-01-26 19:00:00,B001,5.19
2025-01-26 20:00:00,B001,5.12
2025-01-26 21:00:00,B001,15.67
2025-01-26 22:00:00,B001,14.9
2025-01-26 23:00:00,B001,14.72
2025-01-27 00:00:00,B001,15.27
2025-01-27 01:00:00,B001,15.28
2025-01-27 02:00:00,B001,14.4
2025-01-27 03:00:00,B001,15.09
2025-01-27 04:00:00,B001,16.02
2025-01-27 05:00:00,B001,15.93
2025-01-27 06:00:00,B001,14.78
2025-01-27 07:00:00,B001,15.91
2025-01-27 08:00:00,B001,6.46
2025-01-27 09:00:00,B001,6.59
2025-01-27 10:00:00,B001,6.44
2025-01-27 11:00:00,B001,6.91
2025-01-27 12:00:00,B001,7.63
2025-01-27 13:00:00,B001,7.57
2025-01-27 14:00:00,B001,6.83
2025-01-27 15:00:00,B001,7.11
2025-01-27 16:00:00,B001,7.82
2025-01-27 17:00:00,B001,5.49
2025-01-27 18:00:00,B001,5.41
2025-01-27 19:00:00,B001,5.36
2025-01-27 20:00:00,B001,5.28
2025-01-27 21:00:00,B001,14.6
2025-01-27 22:00:00,B001,13.39
2025-01-27 23:00:00,B001,14.75
2025-01-28 00:00:00,B001,16.62
2025-01-28 01:00:00,B001,14.55
2025-01-28 02:00:00,B001,15.08
2025-01-28 03:00:00,B001,15.36
2025-01-28 04:00:00,B001,14.59
2025-01-28 05:00:00,B001,14.58
2025-01-28 06:00:00,B001,15.81
2025-01-28 07:00:00,B001,15.67
2025-01-28 08:00:00,B001,5.49
2025-01-28 09:00:00,B001,6.8
2025-01-28 10:00:00,B001,7.25
2025-01-28 11:00:00,B001,6.68
2025-01-28 12:00:00,B001,8.56
2025-01-28 13:00:00,B001,8.01
2025-01-28 14:00:00,B001,7.29
2025-01-28 15:00:00,B001,6.51
2025-01-28 16:00:00,B001,5.46
2025-01-28 17:00:00,B001,5.31
2025-01-28 18:00:00,B001,4.8
2025-01-28 19:00:00,B001,4.98
2025-01-28 20:00:00,B001,5.42
2025-01-28 21:00:00,B001,15.19
2025-01-28 22:00:00,B001,16.62
2025-01-28 23:00:00,B001,14.8
2025-01-29 00:00:00,B001,15.75
2025-01-29 01:00:00,B001,14.43
2025-01-29 02:00:00,B001,15.94
2025-01-29 03:00:00,B001,15.37
2025-01-29 04:00:00,B001,16.65
2025-01-29 05:00:00,B001,15.03
2025-01-29 06:00:00,B001,14.55
2025-01-29 07:00:00,B001,16.99
2025-01-29 08:00:00,B001,6.07
2025-01-29 09:00:00,B001,6.83
2025-01-29 10:00:00,B001,6.98
2025-01-29 11:00:00,B001,7.67
2025-01-29 12:00:00,B001,6.24
2025-01-29 13:00:00,B001,6.32
2025-01-29 14:00:00,B001,7.74
2025-01-29 15:00:00,B001,8.27
2025-01-29 16:00:00,B001,5.38
2025-01-29 17:00:00,B001,6.91
2025-01-29 18:00:00,B001,5.03
2025-01-29 19:00:00,B001,4.79
2025-01-29 20:00:00,B001,5.03
2025-01-29 21:00:00,B001,15.64
2025-01-29 22:00:00,B001,15.71
2025-01-29 23:00:00,B001,17.61
2025-01-30 00:00:00,B001,16.12
2025-01-30 01:00:00,B001,15.52
